Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
5/5/2020,Central Shenandoah,0-9,14,0,0
5/5/2020,Henrico,80+,219,48,55
5/5/2020,Alexandria,0-9,41,2,0
5/5/2020,Pittsylvania-Danville,40-49,8,3,0
5/5/2020,Henrico,20-29,83,5,0
5/5/2020,Roanoke,60-69,7,1,0
5/5/2020,Peninsula,30-39,42,4,0
5/5/2020,Alleghany,60-69,21,4,0
5/5/2020,Prince William,70-79,101,34,9
5/5/2020,Norfolk,60-69,29,13,1
5/5/2020,Southside,40-49,13,3,0
5/5/2020,Chesterfield,30-39,125,1,0
5/5/2020,Loudoun,70-79,57,19,5
5/5/2020,Central Virginia,40-49,18,0,0
5/5/2020,New River,Missing,0,0,0
5/5/2020,Chickahominy,20-29,31,0,0
5/5/2020,New River,0-9,2,0,0
5/5/2020,Cumberland Plateau,0-9,0,0,0
5/5/2020,Three Rivers,70-79,18,4,1
5/5/2020,Rappahannock Rapidan,40-49,91,3,1
5/5/2020,Hampton,0-9,4,0,0
5/5/2020,Piedmont,50-59,54,5,0
5/5/2020,Rappahannock,20-29,112,5,0
5/5/2020,West Piedmont,20-29,5,0,0
5/5/2020,Arlington,70-79,106,32,11
5/5/2020,Chickahominy,50-59,56,11,0
5/5/2020,Alleghany,40-49,16,0,0
5/5/2020,Prince William,50-59,490,59,4
5/5/2020,Mount Rogers,0-9,5,1,0
5/5/2020,Eastern Shore,0-9,5,0,0
5/5/2020,Thomas Jefferson,60-69,45,12,2
5/5/2020,Pittsylvania-Danville,70-79,9,6,0
5/5/2020,Chesterfield,80+,81,10,15
5/5/2020,Richmond,0-9,4,1,0
5/5/2020,Chesapeake,80+,29,9,5
5/5/2020,Peninsula,40-49,42,3,1
5/5/2020,Henrico,0-9,22,0,0
5/5/2020,Lenowisco,80+,0,0,0
5/5/2020,Piedmont,60-69,43,6,0
5/5/2020,Henrico,10-19,11,0,0
5/5/2020,Mount Rogers,30-39,21,3,0
5/5/2020,Eastern Shore,30-39,102,2,0
5/5/2020,Chesterfield,0-9,2,0,0
5/5/2020,Central Shenandoah,10-19,30,0,0
5/5/2020,Crater,0-9,0,0,0
5/5/2020,Fairfax,70-79,300,110,33
5/5/2020,Rappahannock,80+,11,8,2
5/5/2020,Alexandria,10-19,50,0,0
5/5/2020,Portsmouth,40-49,28,3,0
5/5/2020,Three Rivers,50-59,32,3,0
5/5/2020,Alleghany,Missing,0,0,0
5/5/2020,Alexandria,30-39,247,14,0
5/5/2020,Southside,Missing,0,0,0
5/5/2020,Portsmouth,60-69,25,8,4
5/5/2020,Roanoke,30-39,8,0,0
5/5/2020,Three Rivers,60-69,39,7,0
5/5/2020,Fairfax,50-59,870,137,12
5/5/2020,Portsmouth,50-59,35,10,1
5/5/2020,Chickahominy,80+,38,20,14
5/5/2020,Rappahannock Rapidan,50-59,57,6,0
5/5/2020,Fairfax,80+,381,158,131
5/5/2020,Hampton,Missing,0,0,0
5/5/2020,Cumberland Plateau,80+,0,0,0
5/5/2020,Alleghany,50-59,32,4,0
5/5/2020,Prince William,40-49,586,52,2
5/5/2020,Fairfax,Missing,10,0,0
5/5/2020,Virginia Beach,40-49,67,12,1
5/5/2020,Richmond,Missing,0,0,0
5/5/2020,Norfolk,40-49,48,8,0
5/5/2020,Piedmont,80+,9,1,1
5/5/2020,Virginia Beach,60-69,74,13,1
5/5/2020,West Piedmont,40-49,8,0,0
5/5/2020,Arlington,10-19,26,3,0
5/5/2020,Lenowisco,0-9,4,0,0
5/5/2020,Pittsylvania-Danville,50-59,10,5,0
5/5/2020,Virginia Beach,50-59,71,12,0
5/5/2020,Chesapeake,Missing,0,0,0
5/5/2020,Central Shenandoah,80+,61,8,10
5/5/2020,Thomas Jefferson,40-49,34,4,0
5/5/2020,Rappahannock Rapidan,60-69,36,7,0
5/5/2020,Norfolk,30-39,52,4,0
5/5/2020,Rappahannock Rapidan,Missing,0,0,0
5/5/2020,Lord Fairfax,80+,36,9,4
5/5/2020,Three Rivers,10-19,7,0,0
5/5/2020,Piedmont,40-49,57,2,0
5/5/2020,Norfolk,80+,7,5,2
5/5/2020,Peninsula,20-29,32,1,0
5/5/2020,Norfolk,50-59,42,7,0
5/5/2020,Thomas Jefferson,50-59,49,9,1
5/5/2020,Richmond,70-79,33,15,5
5/5/2020,Chesterfield,70-79,56,11,5
5/5/2020,Piedmont,30-39,54,0,0
5/5/2020,Prince William,30-39,508,30,1
5/5/2020,Alleghany,20-29,14,1,0
5/5/2020,Alleghany,0-9,0,0,0
5/5/2020,Mount Rogers,40-49,15,0,0
5/5/2020,Eastern Shore,40-49,111,3,1
5/5/2020,Central Virginia,60-69,28,2,1
5/5/2020,Richmond,10-19,9,1,0
5/5/2020,Pittsylvania-Danville,60-69,8,4,1
5/5/2020,Pittsylvania-Danville,Missing,0,0,0
5/5/2020,Chesterfield,60-69,85,13,8
5/5/2020,Southside,10-19,3,0,0
5/5/2020,New River,80+,4,2,0
5/5/2020,Central Virginia,50-59,25,1,0
5/5/2020,Hampton,70-79,8,5,0
5/5/2020,Pittsylvania-Danville,10-19,1,0,0
5/5/2020,Richmond,60-69,71,21,4
5/5/2020,Chickahominy,40-49,46,7,1
5/5/2020,Three Rivers,80+,19,4,1
5/5/2020,Rappahannock,30-39,127,7,0
5/5/2020,Lord Fairfax,60-69,83,14,2
5/5/2020,Western Tidewater,0-9,3,0,0
5/5/2020,Rappahannock,70-79,22,14,4
5/5/2020,Prince William,80+,59,21,10
5/5/2020,Hampton,80+,3,2,1
5/5/2020,Alexandria,80+,44,18,10
5/5/2020,Mount Rogers,60-69,13,1,0
5/5/2020,Eastern Shore,60-69,82,5,1
5/5/2020,Lord Fairfax,70-79,38,8,2
5/5/2020,New River,30-39,4,0,0
5/5/2020,Chesapeake,10-19,4,0,0
5/5/2020,Hampton,40-49,14,2,0
5/5/2020,Peninsula,Missing,0,0,0
