Date,Health_District,Age_Group,Cases,Hospitalized,Deaths,State
2020-07-12,Norfolk,70-79,68,26,4,Virginia
2020-07-12,Alleghany,10-19,85,0,0,Virginia
2020-07-12,Crater,80+,118,20,12,Virginia
2020-07-12,Portsmouth,Missing,15,0,0,Virginia
2020-07-12,Western Tidewater,10-19,33,0,0,Virginia
2020-07-12,Chesterfield,10-19,321,0,0,Virginia
2020-07-12,Southside,60-69,63,14,5,Virginia
2020-07-12,Chickahominy,50-59,120,23,1,Virginia
2020-07-12,Alleghany,40-49,86,1,0,Virginia
2020-07-12,Prince William,50-59,1497,196,15,Virginia
2020-07-12,Mount Rogers,0-9,39,1,0,Virginia
2020-07-12,Eastern Shore,0-9,20,2,0,Virginia
2020-07-12,Thomas Jefferson,60-69,97,19,3,Virginia
2020-07-12,Pittsylvania-Danville,70-79,25,12,1,Virginia
2020-07-12,Chesterfield,80+,146,30,46,Virginia
2020-07-12,Richmond,0-9,108,6,0,Virginia
2020-07-12,Chesapeake,80+,74,25,12,Virginia
2020-07-12,Peninsula,40-49,201,8,1,Virginia
2020-07-12,Henrico,0-9,105,2,0,Virginia
2020-07-12,Lenowisco,80+,5,0,0,Virginia
2020-07-12,Piedmont,60-69,142,21,2,Virginia
2020-07-12,West Piedmont,0-9,17,1,0,Virginia
2020-07-12,Rappahannock Rapidan,70-79,43,13,8,Virginia
2020-07-12,Central Shenandoah,70-79,139,40,12,Virginia
2020-07-12,Chesapeake,30-39,256,11,0,Virginia
2020-07-12,Chickahominy,0-9,15,0,0,Virginia
2020-07-12,Prince William,0-9,362,10,0,Virginia
2020-07-12,Eastern Shore,50-59,275,19,5,Virginia
2020-07-12,Mount Rogers,50-59,111,7,1,Virginia
2020-07-12,Loudoun,10-19,594,0,0,Virginia
2020-07-12,Southside,80+,82,12,13,Virginia
2020-07-12,Central Virginia,80+,20,2,0,Virginia
2020-07-12,Rappahannock,Missing,20,0,0,Virginia
2020-07-12,Rappahannock Rapidan,30-39,330,18,1,Virginia
2020-07-12,New River,50-59,39,4,0,Virginia
2020-07-12,Richmond,80+,40,21,10,Virginia
2020-07-12,Mount Rogers,20-29,128,0,0,Virginia
2020-07-12,Eastern Shore,20-29,199,6,0,Virginia
2020-07-12,Hampton,10-19,31,0,0,Virginia
2020-07-12,Portsmouth,0-9,27,3,0,Virginia
2020-07-12,Crater,70-79,153,38,18,Virginia
