State,County,Cases,Deaths,Tests,Date
NA,Culpeper,452,5,NA,2020-05-18
NA,Fairfax,8020,292,NA,2020-05-18
NA,Loudoun,1527,48,NA,2020-05-18
NA,Prince William,3934,73,NA,2020-05-18
District of Columbia,NA,7270,392,37825,2020-05-17
Maryland,NA,39762,2023,201506,2020-05-17
NA,Calvert,245,13,NA,2020-05-17
NA,Frederick,1460,90,NA,2020-05-17
NA,Montgomery,8417,480,NA,2020-05-17
NA,Prince Georges,11608,436,NA,2020-05-17
Virginia,NA,31140,1014,218354,2020-05-17
NA,Arlington,1638,77,NA,2020-05-17
NA,Culpeper,388,5,NA,2020-05-17
NA,Fairfax,7843,284,NA,2020-05-17
NA,Loudoun,1486,48,NA,2020-05-17
NA,Prince William,3759,70,NA,2020-05-17
District of Columbia,NA,7123,383,36526,2020-05-16
Maryland,NA,38804,1992,194926,2020-05-16
NA,Calvert,241,13,NA,2020-05-16
NA,Frederick,1423,90,NA,2020-05-16
NA,Montgomery,8206,475,NA,2020-05-16
NA,Prince Georges,11316,429,NA,2020-05-16
Virginia,NA,30388,1009,210825,2020-05-16
NA,Arlington,1590,75,NA,2020-05-16
NA,Culpeper,374,5,NA,2020-05-16
NA,Fairfax,7643,282,NA,2020-05-16
NA,Loudoun,1446,48,NA,2020-05-16
NA,Prince William,3666,70,NA,2020-05-16
District of Columbia,NA,7042,375,35532,2020-05-15
Maryland,NA,37968,1957,190175,2020-05-15
NA,Calvert,237,13,NA,2020-05-15
NA,Frederick,1402,89,NA,2020-05-15
NA,Montgomery,7988,461,NA,2020-05-15
NA,Prince Georges,11031,420,NA,2020-05-15
Virginia,NA,29683,1002,205249,2020-05-15
NA,Arlington,1560,74,NA,2020-05-15
NA,Culpeper,365,5,NA,2020-05-15
NA,Fairfax,7386,278,NA,2020-05-15
NA,Loudoun,1430,48,NA,2020-05-15
NA,Prince William,3563,69,NA,2020-05-15
District of Columbia,NA,6871,368,34339,2020-05-14
Maryland,NA,36986,1911,182826,2020-05-14
NA,Calvert,228,13,NA,2020-05-14
NA,Frederick,1364,88,NA,2020-05-14
NA,Montgomery,7759,449,NA,2020-05-14
NA,Prince Georges,10791,413,NA,2020-05-14
Virginia,NA,28672,977,195682,2020-05-14
NA,Arlington,1534,71,NA,2020-05-14
NA,Culpeper,343,5,NA,2020-05-14
NA,Fairfax,7159,273,NA,2020-05-14
NA,Loudoun,1374,48,NA,2020-05-14
NA,Prince William,3421,67,NA,2020-05-14
District of Columbia,NA,6736,358,32999,2020-05-13
Maryland,NA,35903,1866,178454,2020-05-13
NA,Calvert,225,13,NA,2020-05-13
NA,Frederick,1325,84,NA,2020-05-13
NA,Montgomery,7548,437,NA,2020-05-13
NA,Prince Georges,10449,398,NA,2020-05-13
Virginia,NA,27813,955,185551,2020-05-13
NA,Arlington,1499,70,NA,2020-05-13
NA,Culpeper,329,5,NA,2020-05-13
NA,Fairfax,6951,267,NA,2020-05-13
NA,Loudoun,1339,44,NA,2020-05-13
NA,Prince William,3351,66,NA,2020-05-13
District of Columbia,NA,6584,350,31658,2020-05-12
Maryland,NA,34812,1809,173574,2020-05-12
NA,Calvert,214,13,NA,2020-05-12
NA,Frederick,1302,80,NA,2020-05-12
NA,Montgomery,7283,422,NA,2020-05-12
NA,Prince Georges,10072,389,NA,2020-05-12
Virginia,NA,26746,927,180084,2020-05-12
NA,Arlington,1460,69,NA,2020-05-12
NA,Culpeper,320,5,NA,2020-05-12
NA,Fairfax,6666,262,NA,2020-05-12
NA,Loudoun,1283,38,NA,2020-05-12
NA,Prince William,3181,65,NA,2020-05-12
District of Columbia,NA,6485,336,31050,2020-05-11
Maryland,NA,34061,1756,169503,2020-05-11
NA,Calvert,211,13,NA,2020-05-11
NA,Frederick,1282,77,NA,2020-05-11
NA,Montgomery,7130,407,NA,2020-05-11
NA,Prince Georges,9892,373,NA,2020-05-11
Virginia,NA,25800,891,171239,2020-05-11
NA,Arlington,1416,66,NA,2020-05-11
NA,Culpeper,291,5,NA,2020-05-11
NA,Fairfax,6470,253,NA,2020-05-11
NA,Loudoun,1210,35,NA,2020-05-11
NA,Prince William,3078,58,NA,2020-05-11
District of Columbia,NA,6389,328,30261,2020-05-10
Maryland,NA,33373,1683,164780,2020-05-10
NA,Calvert,209,11,NA,2020-05-10
NA,Frederick,1267,74,NA,2020-05-10
NA,Montgomery,6909,388,NA,2020-05-10
NA,Prince Georges,9687,359,NA,2020-05-10
Virginia,NA,25070,850,167758,2020-05-10
NA,Arlington,1399,60,NA,2020-05-10
NA,Culpeper,276,5,NA,2020-05-10
NA,Fairfax,6200,243,NA,2020-05-10
NA,Loudoun,1195,30,NA,2020-05-10
NA,Prince William,2991,53,NA,2020-05-10
District of Columbia,NA,6272,323,29570,2020-05-09
Maryland,NA,32587,1644,159931,2020-05-09
NA,Calvert,206,11,NA,2020-05-09
NA,Frederick,1251,74,NA,2020-05-09
NA,Montgomery,6762,382,NA,2020-05-09
NA,Prince Georges,9496,353,NA,2020-05-09
Virginia,NA,24081,839,157957,2020-05-09
NA,Arlington,1368,61,NA,2020-05-09
NA,Culpeper,264,5,NA,2020-05-09
NA,Fairfax,5892,239,NA,2020-05-09
NA,Loudoun,1159,30,NA,2020-05-09
NA,Prince William,2740,48,NA,2020-05-09
District of Columbia,NA,6102,311,28183,2020-05-08
Maryland,NA,31534,1614,156028,2020-05-08
NA,Calvert,202,11,NA,2020-05-08
NA,Frederick,1213,72,NA,2020-05-08
NA,Montgomery,6555,369,NA,2020-05-08
NA,Prince Georges,9205,349,NA,2020-05-08
Virginia,NA,23196,827,150952,2020-05-08
NA,Arlington,1332,60,NA,2020-05-08
NA,Culpeper,253,5,NA,2020-05-08
NA,Fairfax,5610,230,NA,2020-05-08
NA,Loudoun,1127,30,NA,2020-05-08
NA,Prince William,2548,47,NA,2020-05-08
District of Columbia,NA,5899,304,27115,2020-05-07
Maryland,NA,30485,1560,152187,2020-05-07
NA,Calvert,191,11,NA,2020-05-07
NA,Frederick,1182,70,NA,2020-05-07
NA,Montgomery,6316,355,NA,2020-05-07
NA,Prince Georges,8901,339,NA,2020-05-07
Virginia,NA,22342,812,143220,2020-05-07
NA,Arlington,1281,57,NA,2020-05-07
NA,Culpeper,239,4,NA,2020-05-07
NA,Fairfax,5338,227,NA,2020-05-07
NA,Loudoun,1070,29,NA,2020-05-07
NA,Prince William,2474,46,NA,2020-05-07
District of Columbia,NA,5654,285,25856,2020-05-06
Maryland,NA,29374,1503,148600,2020-05-06
NA,Calvert,188,11,NA,2020-05-06
NA,Frederick,1151,70,NA,2020-05-06
NA,Montgomery,6032,345,NA,2020-05-06
NA,Prince Georges,8516,324,NA,2020-05-06
Virginia,NA,21570,769,136558,2020-05-06
NA,Arlington,1248,52,NA,2020-05-06
NA,Culpeper,217,4,NA,2020-05-06
NA,Fairfax,5045,211,NA,2020-05-06
NA,Loudoun,1043,26,NA,2020-05-06
NA,Prince William,2398,39,NA,2020-05-06
District of Columbia,NA,5461,277,24984,2020-05-05
Maryland,NA,28163,1437,144012,2020-05-05
NA,Calvert,184,11,NA,2020-05-05
NA,Frederick,1108,68,NA,2020-05-05
NA,Montgomery,5790,333,NA,2020-05-05
NA,Prince Georges,8135,311,NA,2020-05-05
Virginia,NA,20985,737,134636,2020-05-05
NA,Arlington,1200,51,NA,2020-05-05
NA,Culpeper,209,3,NA,2020-05-05
NA,Fairfax,5016,206,NA,2020-05-05
NA,Loudoun,1025,25,NA,2020-05-05
NA,Prince William,2304,37,NA,2020-05-05
District of Columbia,NA,5322,264,24329,2020-05-04
Maryland,NA,27117,1390,140103,2020-05-04
NA,Calvert,174,11,NA,2020-05-04
NA,Frederick,1071,66,NA,2020-05-04
NA,Montgomery,5541,320,NA,2020-05-04
NA,Prince Georges,7831,295,NA,2020-05-04
Virginia,NA,20256,713,127938,2020-05-04
NA,Arlington,1169,49,NA,2020-05-04
NA,Culpeper,201,3,NA,2020-05-04
NA,Fairfax,4834,201,NA,2020-05-04
NA,Loudoun,998,24,NA,2020-05-04
NA,Prince William,2223,33,NA,2020-05-04
District of Columbia,NA,5170,258,23795,2020-05-03
Maryland,NA,26408,1317,136995,2020-05-03
NA,Calvert,171,11,NA,2020-05-03
NA,Frederick,1038,62,NA,2020-05-03
NA,Montgomery,5384,301,NA,2020-05-03
NA,Prince Georges,7598,284,NA,2020-05-03
Virginia,NA,19492,684,122788,2020-05-03
NA,Arlington,1139,47,NA,2020-05-03
NA,Culpeper,196,3,NA,2020-05-03
NA,Fairfax,4615,198,NA,2020-05-03
NA,Loudoun,961,18,NA,2020-05-03
NA,Prince William,2146,32,NA,2020-05-03
District of Columbia,NA,5016,251,23102,2020-05-02
Maryland,NA,25462,1281,132794,2020-05-02
